Buffering the Vampire Slayer,0.00: New Podcast Rising,"Sep 1, 2016",2 minutes
Buffering the Vampire Slayer,1.01: Welcome to the Hellmouth,"Sep 14, 2016",46 minutes
Buffering the Vampire Slayer,1.02: The Harvest,"Sep 21, 2016",50 minutes
Buffering the Vampire Slayer,1.03: Witch,"Sep 28, 2016",54 minutes
Buffering the Vampire Slayer,1.04: Teacher's Pet,"Oct 5, 2016",50 minutes
Buffering the Vampire Slayer,1.05: Never Kill a Boy on the First Date,"Oct 12, 2016",59 minutes
Buffering the Vampire Slayer,1.06: The Pack,"Oct 19, 2016",65 minutes
Buffering the Vampire Slayer,0.01: Welcome to the Mailbag!,"Oct 26, 2016",32 minutes
Buffering the Vampire Slayer,1.07: Angel,"Nov 2, 2016",62 minutes
Buffering the Vampire Slayer,"1.08: I, Robot... You, Jane","Nov 9, 2016",73 minutes
Buffering the Vampire Slayer,1.09: The Puppet Show,"Nov 16, 2016",64 minutes
Buffering the Vampire Slayer,0.02: An Interview with Armin Shimerman,"Nov 19, 2016",25 minutes
Buffering the Vampire Slayer,1.10: Nightmares,"Nov 23, 2016",63 minutes
Buffering the Vampire Slayer,"1.11: Out of Mind, Out of Sight","Nov 30, 2016",65 minutes
Buffering the Vampire Slayer,1.12: Prophecy Girl,"Dec 7, 2016",73 minutes
Buffering the Vampire Slayer,0.03: Welcome to the Mailbag Vol. 2,"Jan 4, 2017",46 minutes
Buffering the Vampire Slayer,2.01: When She Was Bad,"Jan 11, 2017",69 minutes
Buffering the Vampire Slayer,2.02: Some Assembly Required,"Jan 18, 2017",82 minutes
Buffering the Vampire Slayer,2.03: School Hard,"Jan 25, 2017",68 minutes
Buffering the Vampire Slayer,2.04: Inca Mummy Girl,"Feb 1, 2017",70 minutes
Buffering the Vampire Slayer,2.05: Reptile Boy,"Feb 8, 2017",71 minutes
Buffering the Vampire Slayer,2.06: Halloween,"Feb 15, 2017",69 minutes
Buffering the Vampire Slayer,0.04: Welcome to the Mailbag Vol. 3,"Feb 22, 2017",43 minutes
Buffering the Vampire Slayer,2.07: Lie To Me,"Mar 1, 2017",72 minutes
Buffering the Vampire Slayer,2.08: The Dark Age,"Mar 8, 2017",69 minutes
